fyear,tic,ACT,AT,C&E,COGS,SHARE,TD,IB,CL,NI,CFO,REVT
2001,FFIV,101.898,124.663,69.783,36.736,24.764,0,-30.79,27.008,-30.79,-11.659,107.367
2002,FFIV,105.799,126.289,80.333,24.867,25.73,0,-8.61,31.289,-8.61,9.505,108.266
2003,FFIV,69.744,148.173,44.878,22.105,27.403,0,4.087,36.009,4.087,14.61,115.895
2004,FFIV,175.132,362.859,140.501,34.446,34.772,0,32.953,50.572,32.953,40.59,171.19
2005,FFIV,294.424,537.499,236.181,58.757,38.593,0,51.733,63.325,51.733,84.987,281.41
2006,FFIV,462.975,729.511,374.173,77.353,40.778,0,66.005,99.637,66.005,125.378,394.049
2007,FFIV,386.65,944.288,258.465,103.224,84.379,0,77,153.41,77,169.65,525.667
2008,FFIV,323.369,939.223,190.186,125.649,79.094,0,74.331,186.821,74.331,193.692,650.173
2009,FFIV,468.182,1068.645,317.128,116.686,78.325,0,91.535,223.014,91.535,201.981,653.079
2010,FFIV,605.955,1362.192,428.496,148.552,80.355,0,151.153,287.085,151.153,313.612,881.972
2011,FFIV,763.673,1568.549,542.55,187.117,79.145,0,241.397,372.307,241.397,416.938,1151.834
2012,FFIV,776.081,1911.201,532.151,211.25,78.715,0,275.186,466.029,275.186,495.437,1377.247
2013,FFIV,816.371,2230.554,542.143,226.747,78.09,0,277.314,551.35,277.314,499.693,1481.314
2014,FFIV,998.848,2184.95,645.379,277.369,73.39,0,311.183,636.981,311.183,548.992,1732.046
2015,FFIV,1188.14,2312.29,774.342,291.511,70.138,0,365.014,755.123,365.014,684.541,1919.823
2016,FFIV,1288.801,2306.323,882.395,290.1,65.315,0,365.855,844.238,365.855,711.535,1995.034
2017,FFIV,1459.308,2480.8,1016.928,299.513,62.594,0,420.761,934.601,420.761,740.281,2090.041
2000,JNPR,1348.547,2103.129,1144.743,237.881,318.085,1156.719,147.916,216.408,147.916,269.083,673.501
2001,JNPR,1126.048,2389.588,989.642,308.987,329.146,1150,-13.417,242.219,-13.417,292.759,887.022
2002,JNPR,680.929,2614.669,578.471,203.506,374.331,942.114,-119.65,242.024,-119.65,2.41,546.547
2003,JNPR,690.809,2411.097,581.512,213.318,390.272,557.841,39.199,290.813,39.199,178.554,701.393
2004,JNPR,1413.733,6999.714,1117.841,372.581,540.526,400,135.746,502.837,135.746,439.448,1336.019
2005,JNPR,1818.456,8026.599,1428.765,599.136,568.243,399.959,354.029,627.4,354.029,642.943,2063.957
2006,JNPR,2521.806,7368.395,2040.243,671.223,569.234,399.944,-1001.437,762.617,-1001.437,755.604,2303.58
2007,JNPR,2555.115,6885.406,1956.465,820.368,522.815,399.496,360.83,1379.843,360.83,786.523,2836.088
2008,JNPR,2816.206,7187.341,2191.98,1037.021,526.752,0,511.749,1056.61,511.749,875.179,3572.376
2009,JNPR,2878.959,7590.263,2175.245,1019.845,519.341,0,116.999,1375.785,116.999,796.097,3315.912
2010,JNPR,3214.37,8467.851,2286.401,1200.461,525.378,0,618.402,1471.976,618.402,812.335,4093.266
